"","FÖR ATT FÅ LISTAN UPPDATERAD, ELLER FÖR HJÄLP MED ATT BEGÄRA UT DOKUMENT, KONTAKTA arkiv.mop@gmail.com","","","","","","26734","sidor totalt","","","","","","","","","","","","","","","","","","",""
"Nummer","Titel","","","Anmärkning","","Länk till kopia","","","","","","","","","","","","","","","","","","","","",""
"1","PM daterad 1987-02-09 med titeln ""Uppföljning av Stig Engström och Yvonne Nieminen""","2020-06-12","2020-07-14","E-63-1, se 531.1","","https://drive.google.com/file/d/1YjcC6KDMYnU95SUHcpOJvKbJGQ5-GaOw/view?usp=sharing","10","","","","","","","","","","","","","","","","","","","",""
"2","Förhör med Securitasvakten Annett Kohut 26 juni 1986.","2020-06-12","2020-07-14","EDE-9980-A","","https://drive.google.com/file/d/1L8irIKdtkXAm5zMXoiW9om33JbmF14QR/view?usp=sharing","11","","","","","","","","","","","","","","","","","","","",""
"2.1","Förhör med Securitasvakten Annett Kohut 19 mars 1986. ","2020-06-22","2020-07-14","EDE-9980","","https://drive.google.com/file/d/1sGZEK2sSu1umtzDG3_cU-mgJojFNv5VX/view?usp=sharing","12","","","","","","","","","","","","","","","","","","","",""
"3","Förhör med Gunnar Lundgren i mars 1986.","2020-06-12","2020-07-14","EAD-644, se 4","","https://drive.google.com/file/d/1znFPe4RS4YQZioWUd1pXGFmPvP4L-iV3/view?usp=sharing","1","","","","","","","","","","","","","","","","","","","",""
"4","Förhör med Gustav Fagerberg i mars 1986.","2020-06-12","2020-07-14","EAD-644-2, se 3","","https://drive.google.com/file/d/1CN8f0VXyKxIMy-AhK8AygWi594Jx7i5_/view?usp=sharing","2","","","","","","","","","","","","","","","","","","","",""
"5","Namnlista på värnpliktiga vid Fallskärmsjägarskolan (FJS) i Karlsborg födda under åren 1950-1954 från Svenska Krigsarkivet. ","2020-06-12","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","De dokument som PU fick av Sydafrika den 18 mars 2020.","2020-06-12","","Finns ej","","","0","","","","","","","","","","","","","","","","","","","",""
"7","Samtliga protokoll från provskjutningar av vapen 2017-2020","2020-06-12","2020-07-14","","","https://drive.google.com/file/d/1vCGQHPqGOVvRFmItYU-RMbiKDo5zuqyg/view?usp=sharing","7","","","","","","","","","","","","","","","","","","","",""
"8","Förhör 1986-03-01 Theodoros Athanasiou","2020-06-10","2020-07-14","EAE-18","","https://drive.google.com/file/d/1Cn0bGlpmaTYn7eXgQJ9wwZzOS_kHeK9u/view?usp=sharing","1","","","","","","","","","","","","","","","","","","","",""
"9","Alla förhör med GH / Christer A.","2020-06-15","2020-07-18","Se 9.1, 9.2, 213, 163, 175,176, 214","","https://drive.google.com/file/d/19EP7HojI8TiRtHttYwyepS3LVUng4tWz/view?usp=sharing","52","","","","","","","","","","","","","","","","","","","",""
